	en	fr	es	el	it
close	Close	Fermer	Cerrar	Κλείσε	Chiudere
archived	Channel is Archived!	La chaîne est archivée!	El canal está archivado!	Το κανάλι έχει αρχειοθετηθεί!	Il canale è archiviato!
badrequest	Bad Request!	Mauvaise Demande!	¡Solicitud incorrecta!	Κακό Αίτημα!	Richiesta incorretta!
forbidden	Forbidden!	Interdit!	¡Prohibido!	Απαγορευμένο!	Proibito!
internal	Server Error!	Erreur du serveur!	¡Error del Servidor!	Σφάλμα Διακομιστή!	Errore del server!
notfound	Channel Not Found!	Chaîne introuvable!	¡Canal no encontrado!	Κανάλι δεν βρέθηκε!	Canale non trovato!
unexpected	Unexpected error!	Erreur inattendue!	¡Error inesperado!	Απρόσμενο σφάλμα!	Errore inaspettato!
improvement	Improvement	Amélioration	Mejora	Βελτίωση	Miglioramento
bug	Bug	Bug	Bug	Σφάλμα	Bug
feature	Feature	Fonctionnalité	Característica	Χαρακτηριστικό	Caratteristica
title	Send Feedback	Envoyer un commentaire	Enviar un comentario	Στείλετε τα σχόλιά σας	Invia feedback.
remove	Remove	Retirer	Eliminar	Αφαίρεσε	Rimuovere
message	Message	Message	Mensaje	Μήνυμα	Messaggio
type	Feedback type	Type de commentaire	Tipo de Comentarios	Τύπος σχολίων	Tipo di feedback
placeholder	Your message... Add your email if you want us to contact you	Votre message ... Ajoutez votre email si vous souhaitez que nous vous contactions	Su mensaje ... Agregue su correo electrónico si desea que nos comuniquemos con usted	Το μήνυμά σας ... Προσθέστε το e-mail σας αν θέλετε να επικοινωνήσουμε μαζί σας	Il tuo messaggio ... Aggiungi la tua email se vuoi essere contattato
sending	Sending feedback...	Envoi de commentaires ...	Enviando comentarios ...	Αποστολή σχολίων ...	Invio di feedback ...
sent	Sent!	Envoyé!	Expedido!	Εστάλη!	Inviato!
submit_text	Send Feedback	Envoyer des commentaires	Enviar comentarios	Στείλετε τα σχόλιά σας	Invia feedback.
button	Feedback	Feedback	Feedback	Σχόλια	Feedback